# Intel instruction encoding, extracted from architecture ref manual

D2 /1          |ROR r/m8,CL
C0 /1 ib       |ROR r/m8,imm8
D1 /1          |ROR r/m32,1
D3 /1          |ROR r/m32,CL
C1 /1 ib       |ROR r/m32,imm8
0F 32          |RDMSR
0F 33          |RDPMC
0F 31          |RDTSC
C3             |RET
CB             |RETF
C2 iw          |RET imm16
CA iw          |RETF imm16
0F AA          |RSM
D0 /4          |SAL r/m8,1
D2 /4          |SAL r/m8,CL
C0 /4 ib       |SAL r/m8,imm8
D1 /4          |SAL r/m32,1
D3 /4          |SAL r/m32,CL
C1 /4 ib       |SAL r/m32,imm8
D0 /7          |SAR r/m8,1
D2 /7          |SAR r/m8,CL
C0 /7 ib       |SAR r/m8,imm8
D1 /7          |SAR r/m32,1
D3 /7          |SAR r/m32,CL
C1 /7 ib       |SAR r/m32,imm8
D0 /4          |SHL r/m8,1
D2 /4          |SHL r/m8,CL
C0 /4 ib       |SHL r/m8,imm8
D1 /4          |SHL r/m32,1
D3 /4          |SHL r/m32,CL
C1 /4 ib       |SHL r/m32,imm8
D0 /5          |SHR r/m8,1
D2 /5          |SHR r/m8,CL
C0 /5 ib       |SHR r/m8,imm8
D1 /5          |SHR r/m32,1
D3 /5          |SHR r/m32,CL
C1 /5 ib       |SHR r/m32,imm8
1C ib          |SBB AL,imm8
1D iw          |SBB AX,imm16
1D id          |SBB EAX,imm32
80 /3 ib       |SBB r/m8,imm8
81 /3 iw       |SBB r/m16,imm16
81 /3 id       |SBB r/m32,imm32
83 /3 ib       |SBB r/m32,imm8
18 /r          |SBB r/m8,r8
19 /r          |SBB r/m32,r32
1A /r          |SBB r8,r/m8
1B /r          |SBB r32,r/m32
AE             |SCASB
AF             |SCAS

0F 90          |SETO r/m8
0F 91          |SETNO r/m8
0F 92          |SETB r/m8
0F 93          |SETAE r/m8
0F 94          |SETE r/m8
0F 95          |SETNE r/m8
0F 96          |SETBE r/m8
0F 97          |SETA r/m8
0F 98          |SETS r/m8
0F 99          |SETNS r/m8
0F 9A          |SETPE r/m8
0F 9B          |SETPO r/m8
0F 9C          |SETL r/m8
0F 9D          |SETGE r/m8
0F 9E          |SETLE r/m8
